Zone ID,Zone name,England,Scotland,Wales,Northern Ireland,United Kingdom (part not stated),Channel Islands,Isle of Man,Irish Republic,Ireland (part not stated),Australia,Canada,New Zealand,Kenya,Malawi,Tanzania,Uganda,Zambia,Zimbabwe,"Botswana, Lesotho and Swaziland",Gambia,Ghana,Nigeria,Sierra Leone,Barbados,Jamaica,Trinidad and Tobago,Other Independent States,Caribbean Dependent Territories,West Indies (so stated),Belize,Guyana,Bangladesh,India,Pakistan,Sri Lanka,Hong Kong,Malaysia,Singapore,Cyprus,Gibraltar,Malta and Gozo,Mauritius,Seychelles,Other New Commonwealth,Belgium,Denmark,France,Germany,Greece,Italy,Luxembourg,Netherlands,Portugal,Spain,Albania,Austria,Bulgaria,Czechoslovakia,Finland,Hungary,Norway,Poland,Romania,Sweden,Switzerland,Yugoslavia,Other Europe,Turkey,U.S.S.R,Algeria,Eygpt,Libya,Morocco,Tunisia,"South Afria, Republic of",Other Africa,United States of America,Caribbean,Central America,South America,Iran,Israel,Other Middle East,"Burma (Myanmar, Union of)","China, Peoples Republic of",Japan,Philippines,Vietnam,Other Asia,Rest of World and at sea/in the air
10DKFC,Aspley,2997,87,46,18,0,0,0,50,0,8,8,3,4,0,0,2,1,2,0,0,0,1,0,0,3,0,0,0,0,0,2,0,13,4,5,7,0,1,1,0,3,0,0,1,0,1,7,23,1,8,0,4,0,2,0,1,0,0,0,0,2,3,0,0,2,1,0,1,5,0,1,0,0,2,12,0,11,0,0,1,3,1,4,1,4,1,0,1,2,0
10DKFD,Biggleswade Ivel,6184,104,48,24,0,2,0,30,0,6,9,1,5,3,3,2,1,3,0,0,0,1,0,1,2,2,1,0,0,0,0,1,22,6,1,12,4,6,4,2,1,2,0,4,1,0,1,19,0,9,0,1,2,3,0,2,0,0,0,5,2,6,0,0,0,0,0,0,0,0,1,2,0,0,4,2,26,2,1,0,0,0,4,1,1,1,3,1,3,0
10DKFE,Biggleswade Stratton,5964,93,88,24,0,3,4,44,0,5,2,1,2,0,0,0,2,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,13,3,2,2,3,5,3,0,2,0,0,1,2,2,2,24,0,6,0,3,0,0,0,3,0,0,0,1,3,5,1,0,0,0,0,0,3,0,3,0,0,0,2,0,30,0,1,0,1,1,4,0,0,0,0,1,0,0
10DKFF,Blunham,1894,35,20,10,0,4,0,10,0,8,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,3,0,0,0,0,2,0,2,0,0,0,0,1,0,3,0,9,0,7,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,17,0,0,0,0,3,0,0,0,0,0,1,4,0
10DKFG,Campton And Meppershall,2007,48,30,9,0,2,2,14,0,5,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,3,0,0,4,2,0,0,0,0,2,1,0,2,3,0,0,4,0,2,56,11,16,2,3,0,3,0,1,0,0,0,0,0,1,1,1,0,0,0,4,1,0,0,3,3,0,4,0,1411,7,2,1,0,0,3,0,1,25,16,2,20,1
10DKFH,Clifton And Henlow,5168,247,165,35,0,1,5,45,0,3,5,3,6,0,1,0,2,7,0,0,1,4,0,2,4,0,0,0,0,2,0,0,15,0,7,6,0,12,31,9,12,1,0,0,7,0,8,83,1,12,1,3,1,2,0,2,0,0,1,3,0,3,2,3,0,4,0,0,3,0,2,1,0,0,6,0,31,0,0,4,1,0,1,0,1,5,2,0,1,0
10DKFJ,Clophill,1546,24,22,4,0,3,1,11,0,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,22,0,0,4,0,0,1,0,0,4,0,0,0,0
10DKFK,Cranfield,3650,70,51,19,0,0,2,42,0,6,11,13,6,0,9,3,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,18,5,1,4,22,9,7,2,6,0,0,0,3,5,12,27,12,6,0,3,0,4,0,1,0,0,1,1,2,5,0,0,1,10,0,13,0,1,34,6,0,0,16,1,6,0,13,40,7,5,48,0,13,9,0,0,61,1
10DKFL,Flitton And Pulloxhill,1690,24,20,7,0,0,0,15,0,2,1,0,4,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,2,0,0,3,3,0,2,0,3,0,2,0,3,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
10DKFM,Flitwick East,4761,105,57,36,0,1,0,62,0,10,8,0,8,0,0,1,0,0,0,0,0,4,0,0,1,1,2,0,0,0,0,0,8,2,0,4,3,1,5,1,1,2,2,5,5,0,4,21,1,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,1,1,2,0,1,0,3,0,36,0,0,0,2,1,0,0,4,0,0,2,1,0
